"Town","FIPS","Year","Measure Type","Variable","Value"
"Windsor","0900387000","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Windsor","0900387000","2010-2014","Crude Rate (per 100,000)","Deaths",5.5
"Windsor","0900387000","2010-2014","Number","Deaths",8
"Windsor Locks","0900387070","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Windsor Locks","0900387070","2006-2010","Crude Rate (per 100,000)","Deaths",14.49
"Windsor Locks","0900387070","2006-2010","Number","Deaths",9
"Windsor Locks","0900387070","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Windsor Locks","0900387070","2007-2011","Crude Rate (per 100,000)","Deaths",17.65
"Windsor Locks","0900387070","2007-2011","Number","Deaths",11
"Windsor Locks","0900387070","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Windsor Locks","0900387070","2008-2012","Crude Rate (per 100,000)","Deaths",19.2
"Windsor Locks","0900387070","2008-2012","Number","Deaths",12
"Windsor Locks","0900387070","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Windsor Locks","0900387070","2010-2014","Crude Rate (per 100,000)","Deaths",22.33
"Windsor Locks","0900387070","2010-2014","Number","Deaths",14
"Wolcott","0900987560","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Wolcott","0900987560","2006-2010","Crude Rate (per 100,000)","Deaths",10.94
"Wolcott","0900987560","2006-2010","Number","Deaths",9
"Wolcott","0900987560","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Wolcott","0900987560","2007-2011","Crude Rate (per 100,000)","Deaths",8.47
"Wolcott","0900987560","2007-2011","Number","Deaths",7
"Wolcott","0900987560","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Wolcott","0900987560","2008-2012","Crude Rate (per 100,000)","Deaths",8.39
"Wolcott","0900987560","2008-2012","Number","Deaths",7
"Wolcott","0900987560","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Wolcott","0900987560","2010-2014","Crude Rate (per 100,000)","Deaths",4.79
"Wolcott","0900987560","2010-2014","Number","Deaths",4
"Woodbridge","0900987700","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Woodbridge","0900987700","2006-2010","Crude Rate (per 100,000)","Deaths",2.22
"Woodbridge","0900987700","2006-2010","Number","Deaths",1
"Woodbridge","0900987700","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Woodbridge","0900987700","2007-2011","Crude Rate (per 100,000)","Deaths",6.67
"Woodbridge","0900987700","2007-2011","Number","Deaths",3
"Woodbridge","0900987700","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Woodbridge","0900987700","2008-2012","Crude Rate (per 100,000)","Deaths",8.9
"Woodbridge","0900987700","2008-2012","Number","Deaths",4
"Woodbridge","0900987700","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Woodbridge","0900987700","2010-2014","Crude Rate (per 100,000)","Deaths",11.16
"Woodbridge","0900987700","2010-2014","Number","Deaths",5
"Woodbury","0900587910","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Woodbury","0900587910","2006-2010","Crude Rate (per 100,000)","Deaths",10.09
"Woodbury","0900587910","2006-2010","Number","Deaths",5
"Woodbury","0900587910","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Woodbury","0900587910","2007-2011","Crude Rate (per 100,000)","Deaths",8.06
"Woodbury","0900587910","2007-2011","Number","Deaths",4
"Woodbury","0900587910","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Woodbury","0900587910","2008-2012","Crude Rate (per 100,000)","Deaths",6.02
"Woodbury","0900587910","2008-2012","Number","Deaths",3
"Woodbury","0900587910","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Woodbury","0900587910","2010-2014","Crude Rate (per 100,000)","Deaths",12.18
"Woodbury","0900587910","2010-2014","Number","Deaths",6
"Woodstock","0901588190","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Woodstock","0901588190","2006-2010","Crude Rate (per 100,000)","Deaths",10.14
"Woodstock","0901588190","2006-2010","Number","Deaths",4
"Woodstock","0901588190","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Woodstock","0901588190","2007-2011","Crude Rate (per 100,000)","Deaths",7.57
"Woodstock","0901588190","2007-2011","Number","Deaths",3
"Woodstock","0901588190","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Woodstock","0901588190","2008-2012","Crude Rate (per 100,000)","Deaths",7.53
"Woodstock","0901588190","2008-2012","Number","Deaths",3
"Woodstock","0901588190","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Woodstock","0901588190","2010-2014","Crude Rate (per 100,000)","Deaths",7.58
"Woodstock","0901588190","2010-2014","Number","Deaths",3
